id,class,class_area_m2,total_area_m2,prop_area,method
angle_247.5_dist_100,island,503.8726635640808,860.2364060372354,0.5857374322079908,manual
angle_247.5_dist_125,barren,47.108926824299424,1105.8326593022707,0.04260041194119098,manual
angle_247.5_dist_125,bulrush,501.3016601939265,1105.8326593022707,0.45332506322450694,manual
angle_247.5_dist_125,hordeum,557.4220722840447,1105.8326593022707,0.504074524834302,manual
angle_247.5_dist_150,barren,70.41322788571094,1349.1805537622536,0.052189625539265545,manual
angle_247.5_dist_150,bulrush,1278.7673258765426,1349.1805537622536,0.9478103744607345,manual
angle_247.5_dist_25,island,123.44200560289886,123.44200560289886,1,manual
angle_247.5_dist_50,island,369.0467198268067,369.0467198268067,1,manual
angle_247.5_dist_75,island,614.6412809000648,614.6412809000648,1,manual
angle_270_dist_100,bulrush,707.533584324921,860.3119906031924,0.8224151145781967,manual
angle_270_dist_100,hordeum,127.92744193450659,860.3119906031924,0.1486988945078082,manual
angle_270_dist_100,island,24.850964343764712,860.3119906031924,0.028885990913994936,manual
angle_270_dist_125,bulrush,923.6890850884553,1105.9110641878513,0.8352290839650705,manual
angle_270_dist_125,hordeum,182.2219790993959,1105.9110641878513,0.16477091603492944,manual
angle_270_dist_150,bulrush,1349.2657274149396,1349.2657274149396,1,manual
angle_270_dist_25,island,123.52041048847441,123.52041048847441,1,manual
angle_270_dist_50,island,369.1206122009808,369.1206122009808,1,manual
angle_270_dist_75,bulrush,300.34429782561784,614.720813913483,0.48858651118959656,manual
angle_270_dist_75,island,314.3765160878651,614.720813913483,0.5114134888104035,manual
angle_292.5_dist_100,bulrush,743.0673553442773,860.6876571772416,0.8633414795110246,manual
angle_292.5_dist_100,hordeum,117.62030183296434,860.6876571772416,0.13665852048897545,manual
angle_292.5_dist_125,bulrush,1106.3329840037572,1106.3329840037572,1,manual
angle_292.5_dist_150,bulrush,1349.7637958607095,1349.7637958607095,1,manual
angle_292.5_dist_25,island,123.74829231417421,123.74829231417421,1,manual
angle_292.5_dist_50,bulrush,6.623802671285579,369.3953113324571,0.017931474677880067,manual
angle_292.5_dist_50,island,362.7715086611715,369.3953113324571,0.9820685253221199,manual
angle_292.5_dist_75,bulrush,594.9926781365824,615.0383819032644,0.967407393820448,manual
angle_292.5_dist_75,island,20.045703766682028,615.0383819032644,0.03259260617955205,manual
angle_315_dist_100,bulrush,708.679762220522,860.455262840143,0.823610236145632,manual
angle_315_dist_100,hordeum,151.775500619621,860.455262840143,0.17638976385436805,manual
angle_315_dist_125,bulrush,1106.0932568356295,1106.0932568356295,1,manual
angle_315_dist_150,bulrush,1234.6485019186648,1349.742925495475,0.9147286335769751,manual
angle_315_dist_150,hordeum,115.09442357681017,1349.742925495475,0.08527136642302485,manual
angle_315_dist_25,island,123.51476984922341,123.51476984922341,1,manual
angle_315_dist_50,bulrush,71.4917181103127,369.1578404200271,0.19366165439956404,manual
angle_315_dist_50,island,297.6661223097144,369.1578404200271,0.8063383456004359,manual
